,chr,x1,x2
445,4,213060000,213400000
446,4,0,460000
447,4,335670000,336000000
448,4,0,400000
449,4,217080000,217490000
450,4,0,460000
451,4,229140000,229380000
452,4,213060000,213240000
453,4,176880000,177270000
454,4,0,470000
455,4,221100000,221490000
456,4,0,270000
457,4,158790000,159100000
458,4,209040000,209360000
459,4,72360000,72640000
460,4,108540000,108960000
461,4,0,440000
462,4,78390000,78530000
463,5,182910000,183290000
464,5,331650000,332000000
465,5,299490000,300000000
466,5,118590000,118760000
467,5,148740000,149270000
468,5,88440000,88680000
469,5,100500000,100980000
470,5,297480000,298000000
471,5,134670000,135070000
472,5,92460000,92750000
473,5,251250000,251560000
474,5,120600000,120860000
475,5,355770000,356000000
476,5,341700000,342000000
477,5,148740000,149070000
478,5,251250000,251530000
479,5,287430000,288000000
480,5,186930000,187210000
481,5,144720000,145000000
482,5,273360000,273560000
483,5,138690000,138880000
484,5,154770000,155110000
485,5,156780000,156980000
486,5,30150000,30260000
487,5,327630000,327720000
488,5,0,240000
489,5,84420000,84730000
490,5,311550000,312000000
491,5,353760000,354000000
492,5,94470000,94670000
493,5,90450000,90950000
494,5,138690000,139340000
495,5,160800000,161010000
496,5,0,520000
497,5,315570000,316000000
498,5,369840000,369860000
499,5,0,190000
500,5,128640000,129000000
501,5,265320000,265570000
502,5,277380000,277610000
503,5,106530000,106790000
504,5,313560000,314000000
505,5,0,710000
506,5,144720000,145210000
507,5,178890000,179250000
508,5,0,510000
509,5,104520000,104920000
510,5,0,410000
511,5,84420000,84740000
512,5,146730000,147070000
513,5,102510000,102900000
514,5,88440000,88820000
515,5,114570000,115010000
516,5,166830000,167010000
517,5,96480000,96830000
518,5,84420000,84610000
519,5,0,370000
520,5,0,300000
521,5,62310000,62780000
522,5,259290000,259480000
523,5,138690000,138960000
524,5,333660000,334000000
525,5,0,190000
526,5,221100000,221480000
527,5,92460000,92890000
528,5,261300000,261500000
529,5,0,240000
530,5,231150000,231540000
531,5,0,100000
532,5,0,370000
533,5,211050000,211470000
534,5,194970000,195310000
535,5,132660000,132990000
536,5,140700000,141190000
537,5,0,320000
538,5,66330000,66520000
539,5,237180000,237470000
540,5,371850000,372000000
541,5,114570000,114760000
542,5,198990000,199360000
543,5,172860000,172950000
544,5,136680000,137010000
545,5,335670000,336000000
546,5,0,390000
547,5,166830000,167320000
548,5,180900000,181140000
549,5,146730000,146970000
550,5,255270000,255530000
551,6,281400000,281530000
552,6,215070000,215260000
553,6,0,250000
554,6,253260000,253610000
555,6,325620000,326000000
556,6,98490000,98960000
557,6,168840000,169080000
558,6,267330000,267610000
559,6,0,200000
560,6,0,290000
561,6,112560000,112980000
562,6,110550000,110860000
563,6,122610000,122910000
564,6,82410000,82770000
565,6,0,300000
566,6,62310000,62590000
567,6,213060000,213170000
568,6,221100000,221210000
569,6,221100000,221150000
570,6,235170000,235230000
571,6,279390000,279720000
572,6,245220000,245460000
573,6,76380000,76570000
574,6,148740000,149300000
575,6,164820000,165030000
576,6,172860000,173130000
577,6,0,420000
578,6,86430000,86740000
579,6,207030000,207270000
580,6,134670000,134960000
581,6,154770000,155380000
582,6,271350000,271580000
583,6,367830000,368000000
584,6,98490000,98750000
585,6,0,70000
586,6,60300000,60440000
587,6,377880000,377900000
588,6,138690000,139020000
589,6,0,520000
590,6,158790000,159100000
591,6,192960000,193330000
592,6,182910000,183220000
593,6,0,230000
594,6,0,360000
595,6,74370000,74650000
596,6,275370000,275620000
597,6,0,160000
598,6,116580000,116870000
599,6,146730000,146950000
600,6,355770000,356000000
601,6,0,290000
602,6,0,380000
603,6,329640000,330000000
604,6,243210000,243290000
605,6,223110000,223420000
606,6,367830000,368000000
607,6,0,420000
608,6,345720000,346000000
609,6,0,660000
610,6,196980000,197220000
611,6,247230000,247520000
612,6,156780000,157320000
613,6,0,390000
614,6,80400000,80840000
615,6,267330000,267570000
616,6,80400000,80690000
617,6,0,280000
618,6,333660000,334000000
619,6,245220000,245430000
620,6,0,300000
621,6,341700000,342000000
622,6,237180000,237470000
623,6,0,330000
624,6,343710000,344000000
625,6,239190000,239490000
626,6,116580000,116820000
627,6,166830000,167130000
628,6,353760000,354000000
629,6,114570000,114880000
630,6,86430000,86730000
631,6,339690000,340000000
632,6,287430000,288000000
633,6,203010000,203260000
634,6,0,280000
635,6,373860000,374000000
636,6,0,330000
637,6,144720000,145290000
638,6,90450000,90690000
639,6,347730000,348000000
640,6,213060000,213410000
641,6,0,510000
642,6,100500000,101050000
643,6,261300000,261550000
644,6,0,610000
645,6,317580000,317940000
646,6,108540000,108760000
647,6,0,270000
648,6,64320000,64600000
649,7,247230000,247600000
650,7,0,430000
651,7,84420000,84890000
652,7,124620000,124820000
653,7,323610000,324000000
654,7,2010000,2480000
655,7,0,420000
656,7,327630000,328000000
657,7,192960000,193390000
658,7,110550000,110660000
659,7,148740000,149320000
660,7,267330000,268000000
661,7,0,380000
662,7,347730000,348000000
663,7,132660000,132870000
664,7,225120000,225570000
665,7,0,310000
666,7,144720000,145210000
667,7,0,320000
668,7,357780000,358000000
669,7,335670000,336000000
670,7,0,470000
671,7,353760000,354000000
672,7,319590000,320000000
673,7,124620000,125180000
674,7,0,390000
675,7,0,350000
676,7,102510000,102740000
677,7,110550000,110820000
678,7,164820000,165320000
679,7,0,430000
680,7,0,40000
681,7,393960000,394000000
682,7,321600000,322000000
683,7,229140000,229480000
684,7,0,470000
685,7,96480000,96810000
686,7,327630000,328000000
687,7,0,300000
688,7,174870000,175140000
689,7,285420000,285660000
690,7,335670000,336000000
691,7,150750000,150960000
692,7,337680000,338000000
693,7,0,310000
694,7,0,400000
695,7,309540000,310000000
696,7,241200000,241480000
697,7,108540000,108860000
698,7,351750000,352000000
699,7,293460000,294000000
700,7,140700000,141020000
701,7,227130000,227320000
702,7,267330000,267520000
703,7,297480000,298000000
704,7,337680000,338000000
705,7,188940000,189170000
706,7,361800000,362000000
707,7,363810000,364000000
708,7,0,210000
709,7,277380000,278000000
710,7,331650000,332000000
711,7,355770000,356000000
712,7,166830000,167020000
713,7,247230000,247540000
714,7,192960000,193190000
715,7,225120000,225560000
716,7,98490000,98690000
717,7,186930000,187290000
718,7,106530000,106840000
719,7,106530000,106730000
720,7,237180000,237360000
721,7,0,290000
722,7,257280000,257570000
723,7,345720000,346000000
724,7,249240000,249490000
725,7,363810000,364000000
726,7,136680000,136920000
727,7,164820000,165050000
728,7,351750000,352000000
729,7,233160000,233570000
730,7,136680000,137190000
731,7,80400000,80760000
732,8,2010000,2060000
733,8,0,380000
734,8,128640000,128890000
735,8,0,260000
736,8,54270000,54680000
737,8,120600000,120860000
738,8,76380000,76740000
739,8,180900000,181220000
740,8,247230000,247520000
741,8,247230000,247620000
742,8,126630000,127010000
743,8,205020000,205430000
744,8,337680000,338000000
745,8,0,270000
746,8,333660000,334000000
747,8,0,460000
748,8,94470000,94870000
749,8,148740000,149000000
750,8,203010000,203350000
751,8,225120000,225450000
752,8,385920000,386000000
753,8,0,510000
754,8,198990000,199200000
755,8,243210000,243480000
756,8,152760000,153360000
757,8,321600000,322000000
758,8,371850000,372000000
759,8,0,240000
760,8,233160000,233350000
761,8,273360000,273590000
762,8,186930000,187210000
763,8,152760000,153160000
764,8,148740000,148920000
765,8,146730000,147070000
766,8,136680000,137150000
767,8,265320000,265610000
768,8,180900000,181310000
769,8,106530000,106690000
770,8,0,280000
771,8,188940000,189340000
772,8,82410000,82720000
773,8,211050000,211580000
774,8,219090000,219200000
775,8,196980000,197250000
776,8,0,520000
777,8,233160000,233380000
778,8,190950000,191150000
779,8,116580000,116870000
780,8,146730000,146950000
781,8,158790000,158810000
782,8,201000000,201330000
783,8,142710000,143000000
784,8,0,460000
785,8,136680000,136990000
786,8,201000000,201370000
787,8,249240000,249330000
788,8,229140000,229530000
789,8,176880000,177140000
790,8,0,310000
791,8,235170000,235500000
792,8,257280000,257600000
793,8,118590000,118810000
794,8,367830000,368000000
795,8,0,420000
796,8,245220000,245510000
797,8,134670000,135050000
798,8,164820000,165130000
799,8,349740000,350000000
800,8,168840000,169100000
801,8,293460000,293650000
802,8,86430000,86780000
803,8,0,710000
804,8,148740000,149000000
805,8,341700000,342000000
806,8,158790000,159120000
807,8,176880000,177170000
808,8,0,480000
809,8,192960000,193390000
810,8,345720000,346000000
811,8,237180000,237450000
812,8,261300000,261550000
813,8,90450000,90720000
814,8,74370000,74670000
815,8,351750000,352000000
816,8,0,70000
817,8,46230000,46300000
818,9,166830000,167020000
819,9,309540000,310000000
820,9,0,370000
821,9,0,330000
822,9,0,360000
823,9,138690000,139020000
824,9,86430000,86780000
825,9,213060000,213500000
826,9,361800000,362000000
827,9,0,240000
828,9,196980000,197340000
829,9,142710000,143000000
830,9,203010000,203290000
831,9,108540000,108920000
832,9,305520000,306000000
833,9,255270000,255510000
834,9,72360000,72570000
835,9,66330000,66660000
836,9,80400000,80760000
837,9,184920000,184940000
838,9,263310000,263590000
839,9,0,450000
840,9,136680000,136710000
841,9,317580000,317630000
842,9,20100000,21680000
843,9,267330000,267630000
844,9,146730000,147180000
845,9,130650000,130880000
846,9,0,280000
847,9,355770000,356000000
848,9,0,370000
849,9,150750000,151230000
850,9,243210000,243600000
851,9,106530000,106980000
852,9,86430000,86890000
853,9,309540000,309640000
854,9,98490000,98860000
855,9,0,400000
856,9,198990000,199430000
857,9,164820000,165030000
858,9,110550000,110770000
859,9,0,340000
860,9,303510000,304000000
861,9,0,590000
862,9,275370000,276000000
863,9,0,220000
864,9,0,290000
865,9,128640000,128930000
866,9,170850000,171140000
867,9,98490000,98840000
868,9,168840000,169080000
869,9,0,340000
870,9,243210000,243500000
871,9,0,260000
872,9,162810000,163120000
873,9,0,290000
874,9,164820000,165160000
875,9,0,150000
876,9,0,200000
877,9,138690000,138910000
878,9,78390000,78570000
879,9,229140000,229460000
880,9,203010000,203330000
881,9,243210000,243610000
882,9,325620000,326000000
883,9,0,160000
884,10,168840000,169130000
885,10,174870000,175210000
886,10,170850000,171030000
887,10,90450000,90750000
888,10,0,600000
889,10,305520000,306000000
890,10,0,280000
891,10,106530000,106910000
892,10,172860000,173320000
893,10,319590000,320000000
894,10,313560000,314000000
895,10,0,250000
896,10,98490000,98850000
897,10,174870000,175170000
898,10,361800000,362000000
899,10,126630000,127000000
900,10,217080000,217460000
901,10,186930000,187310000
902,10,0,480000
903,10,82410000,82690000
904,10,267330000,267620000
905,10,0,150000
906,10,102510000,102760000
907,10,0,610000
908,10,122610000,123030000
909,10,215070000,215320000
910,10,198990000,199370000
911,10,108540000,108980000
912,10,146730000,147110000
913,10,311550000,312000000
914,10,144720000,144980000
915,10,198990000,199260000
916,10,130650000,131040000
917,10,0,100000
918,10,172860000,173140000
919,10,0,320000
920,10,196980000,197270000
921,10,0,410000
922,10,160800000,161130000
923,10,329640000,330000000
924,10,0,360000
925,10,337680000,338000000
926,10,86430000,86680000
927,10,255270000,255560000
928,10,118590000,118970000
929,10,126630000,127040000
930,10,225120000,225450000
931,10,188940000,189120000
932,10,233160000,233490000
933,10,321600000,322000000
934,10,146730000,146910000
935,10,168840000,169140000
936,10,142710000,143030000
937,10,78390000,78720000
938,10,86430000,86930000
939,10,325620000,326000000
940,10,0,360000
941,10,0,300000
942,10,118590000,118890000
943,10,190950000,191240000
944,10,305520000,306000000
945,10,104520000,104760000
946,10,100500000,100750000
947,10,333660000,334000000
948,10,345720000,346000000
949,10,92460000,92640000
950,11,106530000,106830000
951,11,164820000,165080000
952,11,337680000,338000000
953,11,0,160000
954,11,297480000,297710000
955,11,235170000,235520000
956,11,363810000,364000000
957,11,0,310000
958,11,56280000,56510000
959,11,247230000,247580000
960,11,172860000,173080000
961,11,132660000,132910000
962,11,0,330000
963,11,237180000,237420000
964,11,239190000,239520000
965,11,0,570000
966,11,0,330000
967,11,190950000,191380000
968,11,237180000,237360000
969,11,104520000,104930000
970,11,106530000,106810000
971,11,247230000,247460000
972,11,265320000,266000000
973,11,361800000,362000000
974,11,170850000,171180000
975,11,239190000,239470000
976,11,0,170000
977,11,0,330000
978,11,255270000,255570000
979,11,211050000,211580000
980,11,319590000,320000000
981,11,257280000,257570000
982,11,203010000,203190000
983,11,249240000,249520000
984,11,176880000,177110000
985,11,207030000,207270000
986,11,355770000,356000000
987,11,0,360000
988,11,0,280000
989,11,160800000,161160000
990,11,223110000,223380000
991,11,196980000,197280000
992,11,82410000,82820000
993,11,0,310000
994,11,118590000,118990000
995,11,261300000,261550000
996,11,112560000,113040000
997,11,211050000,211420000
998,11,0,280000
999,11,196980000,197270000
1000,11,126630000,126950000
1001,11,142710000,142870000
1002,11,0,170000
1003,11,329640000,330000000
1004,11,345720000,346000000
1005,11,0,540000
1006,11,110550000,110970000
1007,11,114570000,114900000
1008,11,108540000,108840000
1009,11,221100000,221370000
1010,11,90450000,90750000
1011,11,0,510000
1012,11,221100000,221270000
1013,11,106530000,106870000
1014,11,0,360000
1015,11,275370000,275600000
1016,11,353760000,354000000
1017,11,98490000,98770000
1018,11,0,300000
1019,11,327630000,328000000
1020,11,0,280000
1021,11,345720000,346000000
1022,12,213060000,213200000
1023,12,233160000,233390000
1024,12,180900000,181190000
1025,12,84420000,84660000
1026,12,243210000,243590000
1027,12,275370000,275660000
1028,12,0,190000
1029,12,40200000,40500000
1030,12,339690000,340000000
1031,12,217080000,217460000
1032,12,203010000,203440000
1033,12,122610000,122830000
1034,12,263310000,263570000
1035,12,297480000,298000000
1036,12,227130000,227460000
1037,12,363810000,364000000
1038,12,180900000,181110000
1039,12,393960000,394000000
1040,12,144720000,145030000
1041,12,337680000,338000000
1042,12,190950000,191320000
1043,12,174870000,174960000
1044,12,267330000,267510000
1045,12,287430000,287650000
1046,12,172860000,173140000
1047,12,255270000,255440000
1048,12,122610000,122850000
1049,12,321600000,322000000
1050,12,0,350000
1051,12,100500000,100940000
1052,12,245220000,245470000
1053,12,0,200000
1054,12,104520000,104830000
1055,12,333660000,334000000
1056,12,0,260000
1057,12,194970000,195240000
1058,12,0,380000
1059,12,74370000,74710000
1060,12,156780000,157050000
1061,12,339690000,340000000
1062,12,0,430000
1063,12,357780000,358000000
1064,12,213060000,213380000
1065,12,150750000,151070000
1066,12,249240000,249450000
1067,12,0,310000
1068,12,94470000,94970000
1069,12,196980000,197390000
1070,12,353760000,354000000
1071,12,213060000,213160000
1072,12,102510000,102920000
1073,12,0,420000
1074,12,158790000,159070000
1075,12,335670000,336000000
1076,12,243210000,243330000
1077,12,116580000,116740000
1078,12,122610000,122740000
1079,12,271350000,271490000
1080,12,309540000,310000000
1081,12,353760000,354000000
1082,12,110550000,110850000
1083,12,0,390000
1084,12,80400000,80710000
1085,12,98490000,98820000
1086,12,106530000,106720000
1087,12,138690000,139010000
1088,12,102510000,102810000
1089,12,219090000,219360000
1090,12,331650000,332000000
1091,12,249240000,249570000
1092,12,198990000,199280000
1093,13,0,210000
1094,13,0,370000
1095,13,96480000,96850000
1096,13,172860000,173130000
1097,13,140700000,141070000
1098,13,116580000,116880000
1099,13,349740000,350000000
1100,13,277380000,277630000
1101,13,227130000,227520000
1102,13,329640000,330000000
1103,13,48240000,48710000
1104,13,313560000,314000000
1105,13,211050000,211550000
1106,13,207030000,207360000
1107,13,233160000,233350000
1108,13,0,190000
1109,13,0,370000
1110,13,203010000,203410000
1111,13,162810000,163080000
1112,13,233160000,233540000
1113,13,205020000,205220000
1114,13,114570000,114970000
1115,13,207030000,207450000
1116,13,92460000,92860000
1117,13,0,530000
1118,13,261300000,262000000
1119,13,363810000,364000000
1120,13,0,440000
1121,13,313560000,314000000
1122,13,0,330000
1123,13,68340000,68700000
1124,13,0,210000
1125,13,104520000,104930000
1126,13,211050000,211430000
1127,13,0,420000
1128,13,329640000,330000000
1129,13,0,360000
1130,13,90450000,90810000
1131,13,209040000,209280000
1132,13,333660000,334000000
1133,13,219090000,219490000
1134,13,112560000,112890000
1135,13,180900000,181210000
1136,13,245220000,245500000
1137,13,237180000,237400000
1138,13,192960000,193180000
1139,13,365820000,366000000
1140,13,0,350000
1141,13,158790000,159090000
1142,13,0,350000
1143,13,201000000,201100000
1144,14,201000000,201530000
